date,rarity,item_type,name,cost
2022-06-15,epic,bundle,*Balenciaga Knights (Bundle)*,1800
2022-04-28,uncommon,outfit,*Defensora Colorada*,800
2022-04-28,uncommon,outfit,*Amazona Colorada*,800
2022-04-28,rare,bundle,*El Chapulín Colorado (Bundle)*,1600
2022-04-28,uncommon,outfit,*Guerrero Colorado*,800
2022-04-28,uncommon,outfit,*Soldado Colorado*,800
2022-04-28,rare,outfit,*El Chapulín Colorado*,1200
2022-04-28,uncommon,outfit,*Capitana Colorada*,800
2022-04-28,uncommon,outfit,*Heroína Colorada*,800
2022-04-28,rare,emote,*¡Que no panda el cúnico!*,500
2022-04-28,uncommon,outfit,*Guerrera Colorada*,800
2022-04-28,uncommon,pickaxe,*Chipote Chillón*,500
2022-04-28,uncommon,outfit,*Defensor Colorado*,800
2022-04-28,uncommon,outfit,*Agente Colorado*,800
2022-04-28,uncommon,outfit,*Héroe Colorado*,800
2022-04-28,uncommon,bundle,*El Chapulín (Bundle)*,2000
2022-04-28,uncommon,bundle,*Colorada (Bundle)*,2000
2022-04-28,slurp,pickaxe,*Party Animal*,1500
2022-04-28,legendary,outfit,*Velocity*,2000
2022-04-28,rare,wrap,*Grimules*,500
2022-04-28,legendary,outfit,*Raptor*,2000
2022-04-28,rare,glider,*Drip Dropper*,800
2022-04-28,epic,glider,*Assault Bomber*,1200
2022-04-28,rare,outfit,*Potassius Peels*,1200
2022-04-28,epic,outfit,*Grimey*,1500
2022-04-28,uncommon,pickaxe,*Gladius of Potassius*,500
2022-04-28,rare,pickaxe,*Grafitaxe*,800
2022-04-28,epic,bundle,*Marked Man (Bundle)*,2300
2022-04-28,rare,pickaxe,*Sour Strikers*,800
2022-04-28,epic,outfit,*Mariana*,1500
2022-04-28,uncommon,emote,*C'mere*,200
2022-04-28,uncommon,outfit,*Scorpion*,800
2022-04-28,rare,wrap,*Planetary*,500
2022-04-28,rare,wrap,*X Marks*,500
2022-04-28,marvel,pickaxe,*Crescent Darts*,500
2022-04-28,marvel,outfit,*Moon Knight*,1500
2022-04-28,rare,pickaxe,*Triumphant Tagger*,800
2022-04-28,rare,pickaxe,*Neck Protector*,800
2022-04-28,rare,outfit,*B.R.I.T.E.*,1200
2022-04-28,uncommon,emote,*Wu-Tang is Forever*,300
2022-04-28,rare,glider,*Shimmy Surfer*,800
2022-04-28,rare,outfit,*Throwback BG*,1200
2022-04-28,uncommon,wrap,*Wu Wrap*,300
2022-04-28,rare,bundle,*Wu Wear (Bundle)*,1600
2022-04-28,rare,bundle,*Wu Wear Gear (Bundle)*,1600
2020-11-21,marvel,bundle,*Black Widow (Snow Suit) (Bundle)*,2200
2020-11-21,marvel,bundle,*Blade (Bundle)*,2300
2020-11-21,marvel,bundle,*Daredevil (Bundle)*,2200
2020-11-21,marvel,bundle,*Ghost Rider (Bundle)*,2600
2020-11-21,marvel,bundle,*Silver Surfer (Bundle)*,2200
2020-11-21,marvel,emote,*Chimichanga!*,300
2020-11-21,marvel,emote,*Daywalker's Kata*,300
2020-11-21,marvel,emote,*Grand Salute*,300
2020-11-21,marvel,emote,*Scootin'*,500
2020-11-21,marvel,emote,*Snap*,200
2020-11-21,marvel,glider,*Dayflier*,1200
2020-11-21,marvel,glider,*Dragacorn*,1500
2020-11-21,marvel,glider,*Ghost Glider*,1200
2020-11-21,marvel,glider,*Psi-Rider*,1200
2020-11-21,marvel,glider,*Silver Surfer's Surfboard*,800
2020-11-21,marvel,glider,*The Devil's Wings*,800
2020-11-21,marvel,glider,*Widowmaker*,800
2020-11-21,marvel,outfit,*Black Widow (Snow Suit)*,1500
2020-11-21,marvel,outfit,*Blade*,2000
2020-11-21,marvel,outfit,*Cable*,1500
2020-11-21,marvel,outfit,*Captain America*,2000
2020-11-21,marvel,outfit,*Cuddlepool*,1500
2020-11-21,marvel,outfit,*Daredevil*,1500
2020-11-21,marvel,outfit,*Domino*,1500
2020-11-21,marvel,outfit,*Ghost Rider*,1500
2020-11-21,marvel,outfit,*Psylocke*,1500
2020-11-21,marvel,outfit,*Ravenpool*,1500
2020-11-21,marvel,outfit,*Silver Surfer*,1500
2020-11-21,marvel,outfit,*Venom*,2000
2020-11-21,marvel,pickaxe,*Daredevil's Billy Clubs*,800
2020-11-21,marvel,pickaxe,*Hulk Smashers*,1200
2020-11-21,marvel,pickaxe,*Meaty Mallets*,800
2020-11-21,marvel,pickaxe,*Psi-blade*,1200
2020-11-21,marvel,pickaxe,*Silver Surfer Pickaxe*,800
2020-11-21,marvel,pickaxe,*Soulfire Chains*,1200
2020-11-21,marvel,pickaxe,*Unstoppable Force*,800
2020-11-21,marvel,pickaxe,*Widow's Fangs*,800
2020-11-21,marvel,wrap,*Skull Fire*,500
2020-11-21,epic,glider,*Arcana*,1200
2020-11-21,epic,outfit,*Clutch*,1800
2020-11-21,epic,outfit,*Luminos*,1500
2020-11-21,epic,pickaxe,*Astral Axe*,1200
2020-11-21,rare,outfit,*Dream*,1200
2020-11-21,rare,outfit,*Dummy*,1200
2020-11-21,rare,wrap,*Shard Break*,500
2020-11-21,uncommon,emote,*Buckets*,200
2020-11-21,uncommon,emote,*Flex On 'Em*,200
2020-11-21,uncommon,pickaxe,*Noggin*,500
2020-11-21,uncommon,wrap,*Crash Test*,300
2020-11-21,epic,emote,*Hula*,800
2020-11-21,epic,outfit,*Daring Duelist*,1500
2020-11-21,rare,emote,*Double Up*,500
2020-11-21,rare,outfit,*Doublecross*,1200
2020-11-21,rare,pickaxe,*Batsickle*,800
2020-11-21,uncommon,emote,*Deep Dab*,200
2019-11-18,epic,glider,*Brite Blimp*,1200
2019-11-18,epic,outfit,*Brite Gunner*,1500
2019-11-18,epic,outfit,*Flapjackie*,1500
2019-11-18,epic,outfit,*Funk Ops*,1500
2019-11-18,epic,outfit,*Growler*,1500
2019-11-18,epic,pickaxe,*Disco Brawl*,1500
2019-11-18,epic,pickaxe,*Rainbow Smash*,1500
2019-11-18,rare,glider,*Poofy Parasail*,800
2019-11-18,rare,outfit,*Brite Bomber*,1200
2019-11-18,rare,outfit,*Disco Diva*,1200
2019-11-18,uncommon,pickaxe,*Jackspammer*,500
2019-11-18,epic,wrap,*Magma*,700
2019-11-18,rare,emote,*Extraterrestrial*,500
2019-11-18,rare,outfit,*Brawler*,1200
2019-11-18,rare,outfit,*Street Striker*,1200
2019-11-18,uncommon,emote,*Lock It Up*,200
2019-11-18,uncommon,emote,*Pizza Party*,200
2020-01-21,legendary,outfit,*Cuddle Team Leader*,2000
2020-01-21,rare,glider,*Cuddle Cruiser*,800
2020-01-21,rare,outfit,*Hush*,1200
2020-01-21,rare,outfit,*Jellie*,1200
2020-01-21,rare,pickaxe,*Cuddle Paw*,800
2020-01-21,rare,pickaxe,*Scampi*,800
2020-01-21,uncommon,pickaxe,*Silent Strike*,500
2020-01-21,uncommon,wrap,*Cuddle Camo*,300
2020-01-21,uncommon,wrap,*Weathered Black*,300
2020-01-21,icon_series,emote,*Fishin'*,500
2020-01-21,epic,emote,*Star Power*,800
2020-01-21,epic,outfit,*Gumshoe*,1500
2020-01-21,rare,emote,*Busy*,500
2020-01-21,rare,outfit,*Hypernova*,1200
2020-01-21,uncommon,pickaxe,*Ave Axe*,500
2019-01-18,epic,outfit,*Fyra*,1500
2019-01-18,epic,outfit,*Jaeger*,1500
2019-01-18,rare,pickaxe,*Battle Axe*,800
2019-01-18,uncommon,glider,*Tusk*,500
2019-01-18,epic,misc,*Battle Pass Tiers*,600
2019-01-18,rare,emote,*Clean Groove*,500
2019-01-18,rare,outfit,*Desperado*,1200
2019-01-18,rare,pickaxe,*Autocleave*,800
2019-01-18,uncommon,emote,*Face Palm*,200
2019-01-18,uncommon,outfit,*Assault Trooper*,800
2019-03-25,legendary,outfit,*Arachne*,2000
2019-03-25,legendary,outfit,*Spider Knight*,2000
2019-03-25,epic,glider,*Hatchling*,1200
2019-03-25,epic,outfit,*Beastmode*,1500
2019-03-25,epic,pickaxe,*Mauler*,1200
2019-03-25,rare,glider,*Fuel*,800
2019-03-25,rare,pickaxe,*Web Breaker*,800
2019-03-25,epic,pickaxe,*Pick Squeak*,1500
2019-03-25,rare,emote,*Lazy Shuffle*,500
2019-03-25,rare,emote,*Spring-Loaded*,500
2019-03-25,rare,outfit,*Arctic Assassin*,1200
2019-03-25,uncommon,outfit,*Scorpion*,800
2019-03-25,uncommon,wrap,*Chromatic*,300
2023-02-12,rare,pickaxe,*Second Hand Saber*,500
2023-02-12,epic,outfit,*Nathan Drake*,1500
2023-02-12,epic,bundle,*Uncharted (Bundle)*,2600
2023-02-12,epic,outfit,*Chloe Frazer*,1500
2023-02-12,uncommon,emote,*Update Journal*,200
2023-02-12,rare,glider,*Sully's "New" Seaplane*,800
2023-02-12,rare,pickaxe,*Parashurama Axe*,500
2023-02-12,rare,outfit,*Relaxed Fit Jonesy*,1200
2023-02-12,uncommon,outfit,*Jonesy the Secondst*,800
2023-02-12,uncommon,outfit,*Cozy Jonesy*,800
2023-02-12,uncommon,outfit,*Castaway Jonesy*,800
2023-02-12,uncommon,outfit,*Jonesy The First*,800
2023-02-12,rare,pickaxe,*Null Pick*,800
2023-02-12,rare,outfit,*Brite Bomber*,1200
2023-02-12,epic,glider,*Brite Blimp*,1200
2023-02-12,epic,outfit,*Noir*,1500
2023-02-12,epic,glider,*Viceroy Mark I*,1200
2023-02-12,rare,outfit,*Fastball*,1200
2023-02-12,rare,outfit,*Slugger*,1200
2023-02-12,uncommon,pickaxe,*Grand Slammer*,500
2023-02-12,epic,outfit,*Brite Gunner*,1500
2023-02-12,rare,bundle,*Brite (Bundle)*,2800
2023-02-12,epic,pickaxe,*Rainbow Smash*,1500
2023-02-12,rare,outfit,*Orin*,1200
2023-02-12,epic,outfit,*Gumshoe*,1500
2023-02-12,epic,outfit,*Sleuth*,1500
2023-02-12,rare,pickaxe,*Magnifying Axe*,800
2023-02-12,uncommon,glider,*Home Run*,500
2023-02-12,uncommon,outfit,*Pathfinder*,800
2023-02-12,rare,outfit,*Ruckus*,1200
2023-02-12,rare,emote,*Full Tilt*,500
2023-02-12,uncommon,pickaxe,*Agile Edge*,500
2023-02-12,rare,music,*Space Groove*,200
2023-02-12,rare,emote,*Lavish*,500
2023-02-12,rare,emote,*Boosting Ki*,400
2023-02-12,rare,glider,*Red Ribbon Army Aircraft*,800
2023-02-12,rare,emote,*Charging Up*,400
2023-02-12,rare,pickaxe,*Gohan's Beast Axe*,800
2023-02-12,legendary,outfit,*Son Goku*,2000
2023-02-12,legendary,bundle,*Goku & Beerus (Bundle)*,2700
2023-02-12,legendary,outfit,*Vegeta*,1800
2023-02-12,legendary,bundle,*Vegeta & Bulma (Bundle)*,2300
2023-02-12,epic,glider,*Shenron*,1200
2023-02-12,rare,pickaxe,*Piccolo's Handheld House*,800
2023-02-12,legendary,outfit,*Piccolo*,1800
2023-02-12,legendary,outfit,*Son Gohan*,1800
2023-02-12,epic,outfit,*Beerus*,1500
2023-02-12,rare,glider,*Space Pod*,800
2023-02-12,rare,glider,*Capsule No. 576*,800
2023-02-12,rare,backpack,*Dragon Radar*,300
2023-02-12,rare,pickaxe,*Kamesennin's Staff*,600
2023-02-12,rare,bundle,*Dragon Ball Gear (Bundle)*,1800
2023-02-12,rare,emote,*Fusion! Hah!!*,400
2023-02-12,rare,outfit,*Bulma*,1200
2023-02-12,icon_series,emote,*Heart of a King*,500
2023-02-12,icon_series,emote,*The Dance LAROI*,500
2023-02-12,icon_series,outfit,*The Rogue LAROI*,2000
2023-02-12,icon_series,emote,*Stay Afloat*,300
2023-02-12,icon_series,music,*Stay*,200
2023-02-12,icon_series,outfit,*The Kid LAROI*,1500
2023-02-12,icon_series,wrap,*LAROI Free Style*,500
2023-02-12,gaming_legends,outfit,*Ezio Auditore*,1800
2023-02-12,gaming_legends,bundle,*Tales from the Animus (Bundle)*,2800
2023-02-12,gaming_legends,outfit,*Eivor Varinsdottir*,1800
2023-02-12,gaming_legends,glider,*Wolf-Kissed Longboat*,800
2023-02-12,icon_series,pickaxe,*The Lion*,1200
2023-02-12,icon_series,bundle,*King James Gear (Bundle)*,1800
2023-02-12,icon_series,outfit,*Tune Squad LeBron*,1500
2023-02-12,icon_series,outfit,*LeBron James*,2000
2023-02-12,icon_series,bundle,*King James (Bundle)*,2500
2023-02-12,icon_series,glider,*Wingspan*,1200
2023-02-12,icon_series,emote,*The Silencer*,200
2023-02-12,icon_series,wrap,*Endzone Elite*,300
2023-02-12,icon_series,bundle,*Patrick Mahomes (Bundle)*,2300
2023-02-12,icon_series,outfit,*Mahomes Saucy Style*,1500
2023-02-12,icon_series,emote,*Showtime*,200
2023-02-12,icon_series,outfit,*Patrick Mahomes*,1800
2023-02-12,epic,outfit,*TD Titan*,1500
2023-02-12,rare,backpack,*Logo-a-go-go*,400
2023-02-12,epic,outfit,*Punt Paragon*,1500
2023-02-12,uncommon,glider,*Touchdown*,500
2023-02-12,uncommon,pickaxe,*Golden Pigskin*,500
2023-02-12,uncommon,emote,*Denied*,200
2023-02-12,epic,outfit,*Blitz Brigade*,1500
2023-02-12,epic,bundle,*Ultimate Rush (Bundle)*,3500
2023-02-12,epic,outfit,*Crossbar Crusher*,1500
2023-02-12,epic,outfit,*Trench Runner*,1500
2023-02-12,epic,outfit,*Snap Squad*,1500
2023-02-12,epic,bundle,*Extra Point (Bundle)*,3500
2023-02-12,epic,outfit,*Scrimmage Scrapper*,1500
2023-02-12,epic,outfit,*Red Zone Renegade*,1500
2023-02-12,rare,emote,*Spike It*,500
2023-02-12,epic,outfit,*Formation Fighter*,1500
2023-02-12,epic,outfit,*Pass Rush Ranger*,1500
2023-02-12,rare,pickaxe,*Upright Axe*,800
2023-02-12,rare,bundle,*Gridiron Greats (Bundle)*,1800
2023-02-12,uncommon,outfit,*Fair Play*,800
2023-02-12,uncommon,outfit,*Striped Soldier*,800
2023-02-12,uncommon,bundle,*Penalty Patrol (Bundle)*,2000
2023-02-12,uncommon,outfit,*Offense Overseer*,800
2023-02-12,uncommon,emote,*Penalty*,300
2023-02-12,uncommon,emote,*Time Out*,200
2023-02-12,uncommon,pickaxe,*First Downer*,500
2023-02-12,uncommon,bundle,*First and Ten (Bundle)*,800
2023-02-12,uncommon,emote,*It's good!*,200
2023-02-12,uncommon,outfit,*Whistle Warrior*,800
2023-02-12,uncommon,bundle,*Renegade Ref (Bundle)*,2000
2023-02-12,uncommon,outfit,*Huddle Hero*,800
2023-02-12,uncommon,outfit,*Replay Ranger*,800
2023-02-12,uncommon,outfit,*Offside Officer*,800
2023-02-12,uncommon,outfit,*Time-Out*,800
2023-02-12,uncommon,outfit,*End Zone Expert*,800
2023-02-12,uncommon,outfit,*Elite Linesman*,800
2023-02-12,epic,outfit,*Far Out Man*,1500
2023-02-12,rare,outfit,*Pinkie*,1200
2023-02-12,rare,outfit,*Cuddle King*,1200
2023-02-12,uncommon,wrap,*Hearts & Bullets*,300
2023-02-12,rare,wrap,*Hearty*,500
2023-02-12,epic,emote,*Daydream*,800
2023-02-12,epic,outfit,*Dreamflower*,1500
2023-02-12,rare,wrap,*Crushin'*,500
2023-02-12,rare,outfit,*Lovely*,1200
2023-02-12,rare,music,*Hooked On You*,200
2023-02-12,uncommon,pickaxe,*Mace of Hearts*,500
2023-02-12,uncommon,wrap,*Sweety Skull*,300
2023-02-12,rare,outfit,*Skully*,1200
2023-02-12,rare,glider,*Spikey Jet*,800
2023-02-12,rare,bundle,*Tess (Bundle)*,1800
2023-02-12,uncommon,pickaxe,*Tricksy Axe*,500
2023-02-12,epic,emote,*True Heart*,800
2023-02-12,uncommon,emote,*Bloomin' Bouquet*,200
2023-02-12,rare,glider,*Tie-dye Flyer*,800
2023-02-12,rare,pickaxe,*Heavy Heart*,800
2023-02-12,uncommon,pickaxe,*Drumbeat*,500
2023-02-12,rare,outfit,*Heartbreaker*,1200
2023-02-12,rare,outfit,*Queen of Hearts*,1200
2023-02-12,rare,emote,*Kiss Kiss*,500
2023-02-12,uncommon,outfit,*Bullseye*,800
2023-02-12,uncommon,outfit,*Ex*,800
2023-02-12,rare,outfit,*Tess*,1200
2023-02-12,uncommon,wrap,*Regal Heart*,300
2023-02-12,uncommon,pickaxe,*Chocollama*,500
2023-02-12,uncommon,outfit,*Crusher*,800
2023-02-12,legendary,outfit,*Polarity*,1800
2023-02-12,legendary,outfit,*Hypersonic*,1800
2023-02-12,legendary,outfit,*The Mighty Volt*,1800
2023-02-12,legendary,outfit,*Wanderlust*,1800
2023-02-12,legendary,outfit,*Hunter*,1800
2023-02-12,legendary,outfit,*Backlash*,1800
2023-02-12,legendary,outfit,*Dynamo Dancer*,1800
2023-02-12,legendary,outfit,*Blastoff*,1800
2023-02-12,legendary,outfit,*Firebrand*,1800
2023-02-12,epic,pickaxe,*Phantasmic Pulse*,1200
2023-02-12,epic,bundle,*Hero Gear (Bundle)*,1400
2023-02-12,rare,backpack,*Emoticape*,400
2023-02-12,rare,backpack,*Holo-Back*,400
2021-09-05,marvel,pickaxe,*Unstoppable Force*,800
2021-09-05,marvel,glider,*Dragacorn*,1500
2021-09-05,marvel,outfit,*Ghost Rider*,1500
2021-09-05,marvel,outfit,*Cuddlepool*,1500
2021-09-05,marvel,bundle,*Silver Surfer (Bundle)*,2200
2021-09-05,marvel,bundle,*Ant-Man (Bundle)*,2100
2021-09-05,marvel,outfit,*Ant-Man*,1500
2021-09-05,marvel,outfit,*Daredevil*,1500
2021-09-05,marvel,outfit,*Cable*,1500
2021-09-05,marvel,wrap,*Dragon's Scale*,300
2021-09-05,marvel,emote,*Dance Off*,500
2021-09-05,marvel,bundle,*Gamora (Bundle)*,2200
2021-09-05,marvel,outfit,*Thanos*,1500
2021-09-05,marvel,emote,*Mighty Ant*,600
2021-09-05,marvel,glider,*Widowmaker*,800
2021-09-05,marvel,outfit,*Venom*,2000
2021-09-05,marvel,emote,*Snap*,200
2021-09-05,marvel,pickaxe,*Toothpick*,800
2021-09-05,marvel,outfit,*Shang-Chi*,1500
2021-09-05,marvel,bundle,*Daredevil (Bundle)*,2200
2021-09-05,marvel,glider,*Dayflier*,1200
2021-09-05,marvel,glider,*Psi-Rider*,1200
2021-09-05,marvel,pickaxe,*Widow's Fangs*,800
2021-09-05,marvel,pickaxe,*Soulfire Chains*,1200
2021-09-05,marvel,bundle,*Shang-Chi (Bundle)*,1800
2021-09-05,marvel,emote,*Daywalker's Kata*,300
2021-09-05,marvel,pickaxe,*Guardian Axe*,500
2021-09-05,marvel,pickaxe,*The Godslayer*,800
2021-09-05,marvel,outfit,*Psylocke*,1500
2021-09-05,marvel,emote,*Scootin'*,500
2021-09-05,marvel,bundle,*Blade (Bundle)*,2300
2021-09-05,marvel,pickaxe,*Probability Daggers*,800
2021-09-05,marvel,outfit,*Captain America*,2000
2021-09-05,marvel,pickaxe,*Meaty Mallets*,800
2021-09-05,marvel,wrap,*Skull Fire*,500
2021-09-05,marvel,bundle,*Black Widow (Snow Suit) (Bundle)*,2200
2021-09-05,marvel,pickaxe,*Silver Surfer Pickaxe*,800
2021-09-05,marvel,outfit,*Ravenpool*,1500
2021-09-05,marvel,glider,*Silver Surfer's Surfboard*,800
2021-09-05,marvel,glider,*Ghost Glider*,1200
2021-09-05,marvel,glider,*The Devil's Wings*,800
2021-09-05,marvel,pickaxe,*Blades of Brother Hand*,500
2021-09-05,marvel,glider,*The Milano*,1200
2021-09-05,marvel,bundle,*Ghost Rider (Bundle)*,2600
2021-09-05,marvel,outfit,*Gamora*,1500
2021-09-05,marvel,glider,*Godslayer Glideboard*,800
2021-09-05,marvel,pickaxe,*Hulk Smashers*,1200
2021-09-05,marvel,outfit,*Black Widow (Snow Suit)*,1500
2021-09-05,marvel,outfit,*Blade*,2000
2021-09-05,marvel,pickaxe,*Psi-blade*,1200
2021-09-05,marvel,outfit,*Domino*,1500
2021-09-05,marvel,outfit,*Silver Surfer*,1500
2021-09-05,marvel,pickaxe,*Daredevil's Billy Clubs*,800
2021-09-05,marvel,emote,*Chimichanga!*,300
2021-09-05,marvel,emote,*Grand Salute*,300
2021-09-05,marvel,outfit,*Star-Lord Outfit*,1500
2021-09-05,marvel,bundle,*Deadpool Gear (Bundle)*,2000
2021-09-05,marvel,bundle,*Deadpool Mashups (Bundle)*,2000
2021-09-05,marvel,bundle,*X-Force Outfits (Bundle)*,3000
2021-09-05,marvel,bundle,*X-Force Gear (Bundle)*,2000
2021-09-05,marvel,bundle,*Star-Lord (Bundle)*,2500
2021-09-05,gaming_legends,outfit,*Master Chief*,1500
2021-09-05,gaming_legends,glider,*UNSC Pelican*,1200
2021-09-05,gaming_legends,emote,*Lil' Warthog*,500
2021-09-05,gaming_legends,bundle,*Master Chief (Bundle)*,2600
2021-09-05,gaming_legends,pickaxe,*Gravity Hammer*,800
2021-09-05,epic,bundle,*Mecha Morty (Bundle)*,2200
2021-09-05,epic,outfit,*Mecha Morty*,1500
2021-09-05,rare,wrap,*Look at Me!*,500
2021-09-05,rare,emote,*Get Schwifty*,500
2021-09-05,rare,pickaxe,*Space Snake*,800
2021-09-05,icon_series,emote,*In Da Party*,500
2021-09-05,icon_series,bundle,*J Balvin (Bundle)*,2400
2021-09-05,icon_series,glider,*Balvin Cruiser*,800
2021-09-05,icon_series,outfit,*J Balvin*,2000
2021-09-05,rare,outfit,*Marino*,1200
2021-09-05,uncommon,pickaxe,*Fresh Cut*,500
2021-09-05,legendary,bundle,*Galaxy Grappler (Bundle)*,2500
2021-09-05,epic,outfit,*Britestorm Bomber*,1500
2021-09-05,epic,pickaxe,*Galaxy Starblades*,1200
2021-09-05,epic,pickaxe,*Breezy Bashers*,1200
2021-09-05,legendary,outfit,*Galaxy Grappler*,2000
2021-09-05,rare,wrap,*Vortextual*,500
2021-09-05,icon_series,emote,*Hey Now!*,500
2021-09-05,epic,bundle,*Britestorm Bomber (Bundle)*,1900
2021-09-05,epic,outfit,*Delirium*,1500
2021-09-05,uncommon,emote,*Get Loose*,200
2021-09-05,rare,outfit,*Tigeress*,1200
2021-09-05,icon_series,emote,*Never Gonna*,500
2021-09-05,icon_series,emote,*Survivorsault*,200
2021-09-05,rare,emote,*Guitar Walk*,500
2021-09-05,uncommon,backpack,*FNCS Holoflair*,200
2021-09-05,uncommon,outfit,*Major Glory*,800
2021-09-05,rare,music,*Dream Runner*,200
2021-05-26,legendary,outfit,*Red Knight*,2000
2021-05-26,dc,glider,*Batman Zero Wing*,1200
2021-05-26,dc,outfit,*Batman Zero*,1500
2021-05-26,dc,outfit,*Beast Boy*,1800
2021-05-26,dc,outfit,*Catwoman Zero*,1200
2021-05-26,dc,pickaxe,*BB's Beast Bat*,800
2021-05-26,dc,pickaxe,*Catwoman's Grappling Claw*,800
2021-05-26,dc,pickaxe,*Grappling Axe*,800
2021-05-26,icon_series,emote,*Chicken Wing It*,500
2021-05-26,shadow,pickaxe,*Stark Splitter*,800
2021-05-26,epic,emote,*Fire Spinner*,800
2021-05-26,epic,outfit,*Buzzer Beater*,1500
2021-05-26,epic,outfit,*Crossover Champion*,1500
2021-05-26,epic,outfit,*Dynamo Dribbler*,1500
2021-05-26,epic,outfit,*Fadeaway*,1500
2021-05-26,epic,outfit,*Fast Break*,1500
2021-05-26,epic,outfit,*Half-Court Hero*,1500
2021-05-26,epic,outfit,*Rain Maker*,1500
2021-05-26,epic,outfit,*Rebound Raider*,1500
2021-05-26,epic,outfit,*Splash Specialist*,1500
2021-05-26,epic,outfit,*Triple-Double*,1500
2021-05-26,rare,backpack,*Mini Hoop*,600
2021-05-26,rare,bundle,*Donovan Mitchell's Locker (Bundle)*,2000
2021-05-26,rare,emote,*Baller*,500
2021-05-26,rare,emote,*Dribblin'*,500
2021-05-26,rare,outfit,*Cozy Chomps*,1200
2021-05-26,rare,outfit,*Tigeress*,1200
2021-05-26,rare,pickaxe,*Crimson Axe*,800
2021-05-26,rare,pickaxe,*Gold Digger*,800
2021-05-26,rare,pickaxe,*Tiger Claws*,800
2021-05-26,rare,wrap,*Dynamic Fire*,500
2021-05-26,rare,wrap,*Happy Stars*,500
2021-05-26,uncommon,bundle,*Trae Young's Locker (Bundle)*,1700
2021-05-26,uncommon,outfit,*Scarlet Commander*,800
2021-05-26,uncommon,wrap,*Wild Stripes*,300
2021-05-26,legendary,outfit,*Magnus*,2000
2021-05-26,rare,emote,*Bhangra Boogie*,500
2021-05-26,rare,emote,*Eagle*,500
2021-05-26,rare,wrap,*Sticker Star*,500
2021-05-26,uncommon,emote,*Scorecard*,200
2021-05-26,uncommon,outfit,*Assault Trooper*,800
2017-11-21,epic,pickaxe,*Death Valley*,1500
